Type,Status,Last Updated,Nationality,2017,2018,2019,2020,2021,2022,2023,2024
short term visa applications,Received,31/05/2024,Afghanistan,128,127,178,58,67,189,338,184
short term visa applications,Received,31/05/2024,Albania,409,528,521,109,159,571,680,256
short term visa applications,Received,31/05/2024,Algeria,371,369,519,102,82,339,608,584
short term visa applications,Received,31/05/2024,Angola,78,122,79,10,8,88,140,51
short term visa applications,Received,31/05/2024,Armenia,174,164,270,41,27,241,339,172
short term visa applications,Received,31/05/2024,Azerbaijan,179,213,237,49,77,207,244,117
short term visa applications,Received,31/05/2024,Bahrain,249,213,252,42,83,196,166,82
short term visa applications,Received,31/05/2024,Bangladesh,627,584,672,111,103,645,1120,629
short term visa applications,Received,31/05/2024,Belarus,1423,1509,1484,248,120,433,475,301
short term visa applications,Received,31/05/2024,Benin,18,23,33,5,*,11,28,14
short term visa applications,Received,31/05/2024,Bhutan,13,15,9,*,*,*,*,0
short term visa applications,Received,31/05/2024,Bosnia and Herzegovina,436,571,462,111,66,347,372,198
short term visa applications,Received,31/05/2024,Burkina Faso,22,24,21,6,*,18,10,9
short term visa applications,Received,31/05/2024,Burundi,38,24,20,*,*,18,55,32
short term visa applications,Received,31/05/2024,Cabo Verde,8,14,16,*,*,9,6,*
short term visa applications,Received,31/05/2024,Cambodia,55,52,48,11,*,33,78,30
short term visa applications,Received,31/05/2024,Cameroon,244,239,290,46,39,180,293,243
short term visa applications,Received,31/05/2024,Central African Republic (the),5,9,8,*,0,*,*,*
short term visa applications,Received,31/05/2024,Chad,12,6,11,4,0,*,*,*
short term visa applications,Received,31/05/2024,China,13693,17028,19320,1391,713,3657,11623,5264
short term visa applications,Received,31/05/2024,Colombia,1312,1407,1532,221,159,979,1384,821
short term visa applications,Received,31/05/2024,Comoros (the),19,6,6,0,*,11,8,*
short term visa applications,Received,31/05/2024,Congo (the Democratic Republic of the),346,421,224,72,23,244,301,107
short term visa applications,Received,31/05/2024,Congo (the),36,29,31,14,*,16,32,22
short term visa applications,Received,31/05/2024,Cï¿½te d'Ivoire,58,72,58,23,8,70,47,31
short term visa applications,Received,31/05/2024,Cuba,95,142,265,11,9,81,62,28
short term visa applications,Received,31/05/2024,Djibouti,15,8,9,*,*,8,7,*
short term visa applications,Received,31/05/2024,Dominican Republic (the),94,132,119,23,16,105,196,62
short term visa applications,Received,31/05/2024,Ecuador,266,302,348,47,18,170,275,195
short term visa applications,Received,31/05/2024,Egypt,1688,1893,2066,392,250,1387,1838,884
short term visa applications,Received,31/05/2024,Equatorial Guinea,*,4,7,0,0,*,*,*
short term visa applications,Received,31/05/2024,Eritrea,30,43,49,10,8,60,53,18
short term visa applications,Received,31/05/2024,Ethiopia,298,377,320,34,55,269,369,128
short term visa applications,Received,31/05/2024,Faroe Islands (the),0,0,0,0,*,0,0,0
short term visa applications,Received,31/05/2024,Gabon,12,19,24,5,0,7,6,7
short term visa applications,Received,31/05/2024,Gambia (the),44,30,38,12,11,83,61,20
short term visa applications,Received,31/05/2024,Georgia,489,390,557,137,116,644,644,210
short term visa applications,Received,31/05/2024,Ghana,537,600,572,121,139,610,667,434
short term visa applications,Received,31/05/2024,Guinea,46,31,40,12,8,27,48,19
short term visa applications,Received,31/05/2024,Guinea-Bissau,6,6,*,4,0,4,7,0
short term visa applications,Received,31/05/2024,Haiti,42,74,21,7,*,8,25,6
short term visa applications,Received,31/05/2024,India,18570,21831,24305,5190,4173,24347,35067,20167
short term visa applications,Received,31/05/2024,Indonesia,2660,3175,3457,581,172,731,970,414
short term visa applications,Received,31/05/2024,Iran (Islamic Republic of),923,945,765,160,155,700,923,347
short term visa applications,Received,31/05/2024,Iraq,294,257,274,38,50,494,458,287
short term visa applications,Received,31/05/2024,Jamaica,178,191,182,22,28,114,152,60
short term visa applications,Received,31/05/2024,Jordan,698,860,842,167,135,782,772,333
short term visa applications,Received,31/05/2024,Kazakhstan,449,501,414,93,57,250,368,180
short term visa applications,Received,31/05/2024,Kenya,682,816,678,132,121,748,905,480